Session_ID,Customer_ID,Product_Viewed,Category,Page_Duration_Seconds,Pages_Viewed,Device_Type,Referrer,Time_of_Day,Bounce
77,10828,Headphones,Electronics,38.91103500038728,,Mobile,Direct,Afternoon,Yes
78,6225,Smartphone,Accessories,158.9492069560274,8.0,Tablet,Direct,Morning,No
79,3945,Smartwatch,Gadgets,178.39483776768012,9.0,Tablet,Email,Night,Yes
80,7639,Headphones,Accessories,236.99441036966502,1.0,Desktop,Email,Evening,No
81,6858,Tablet,Accessories,241.51085250346634,8.0,Tablet,Facebook,Afternoon,Yes
82,4669,Headphones,Accessories,263.73999702923,9.0,Mobile,Google,Morning,Yes
83,16022,Laptop,Gadgets,,4.0,Desktop,Google,Afternoon,Yes
84,15698,Smartphone,Accessories,16.111307081024034,1.0,Mobile,Facebook,Morning,No
85,11813,Headphones,Accessories,95.54089467563182,5.0,Mobile,Email,Evening,No
86,10354,Headphones,Electronics,180.9512025597822,4.0,Mobile,Facebook,Evening,No
87,8187,Laptop,Gadgets,260.47687024732215,,Desktop,Facebook,Night,No
88,9558,Headphones,Accessories,112.55268384890114,1.0,Desktop,Direct,Afternoon,No
89,16064,Smartwatch,Accessories,103.90654151065885,9.0,Desktop,Google,Afternoon,No
90,6386,Laptop,Electronics,57.13475005488923,8.0,Mobile,Direct,Afternoon,No
91,956,Smartwatch,Electronics,44.14360766744779,9.0,Desktop,Direct,Afternoon,Yes
92,4975,Smartwatch,Electronics,161.39483482695022,3.0,Tablet,Direct,Afternoon,Yes
93,8605,Headphones,Electronics,296.80371304436187,7.0,Mobile,Facebook,Evening,Yes
94,15311,Smartphone,Accessories,220.71521555155738,3.0,Mobile,Google,Afternoon,No
95,12862,Laptop,Electronics,35.0021166479133,5.0,Tablet,Facebook,Afternoon,No
96,6711,Smartphone,Accessories,292.33021736953435,6.0,Mobile,Facebook,Night,No
97,2376,Smartwatch,Electronics,128.48115971441518,5.0,Mobile,Google,Evening,Yes
98,17309,Smartwatch,Accessories,77.74900127033462,4.0,Desktop,Google,Night,No
99,15769,Laptop,Accessories,108.79834689899752,7.0,Desktop,Email,Night,Yes
100,13385,Smartphone,Gadgets,,7.0,Tablet,Direct,Morning,Yes
101,13407,Smartphone,Accessories,115.15549951741745,1.0,Desktop,Email,Evening,No
102,2244,Smartphone,Electronics,110.73133697400965,7.0,Desktop,Google,Evening,Yes
103,6643,Smartphone,Electronics,255.94459865015165,5.0,Tablet,Email,Morning,Yes
104,14726,Laptop,Accessories,8.221253995796417,3.0,Mobile,Direct,Afternoon,Yes
105,1596,Headphones,Electronics,294.3541781352015,2.0,Desktop,Email,Morning,Yes
106,10441,Laptop,Electronics,19.038754890324128,1.0,Desktop,Google,Evening,No
107,7742,Headphones,Accessories,,6.0,Tablet,Email,Evening,Yes
108,9637,Smartphone,Gadgets,,8.0,Mobile,Direct,Morning,Yes
109,12627,Smartphone,Gadgets,70.50985512448706,5.0,Mobile,Google,Night,No
110,15841,Tablet,Electronics,198.82956608701497,7.0,Tablet,Facebook,Evening,Yes
111,14715,Smartphone,Electronics,197.53595934977645,7.0,Mobile,Google,Morning,No
112,14268,Smartphone,Electronics,294.08426504865315,6.0,Mobile,Email,Morning,Yes
113,14359,Smartphone,Gadgets,78.06161064028058,1.0,Desktop,Email,Afternoon,Yes
114,11928,Headphones,Electronics,145.78917160968672,3.0,Desktop,Facebook,Evening,No
115,4127,Smartphone,Gadgets,261.8000889112643,6.0,Desktop,Facebook,Afternoon,No
116,10489,Smartwatch,Accessories,253.1269680909416,5.0,Desktop,Google,Afternoon,Yes
117,15893,Headphones,Accessories,180.56254091461787,6.0,Desktop,Direct,Evening,No
118,1562,Headphones,Electronics,111.19342772449961,7.0,Tablet,Google,Afternoon,No
119,16899,Headphones,Gadgets,223.61148817171616,1.0,Mobile,Google,Afternoon,No
120,2352,Smartphone,Gadgets,29.01769255428375,5.0,Mobile,Email,Afternoon,Yes
121,1296,Smartphone,Electronics,11.785520813179586,7.0,Mobile,Facebook,Night,Yes
122,4140,Headphones,Accessories,297.51283829621536,3.0,Desktop,Email,Afternoon,No
123,3701,Headphones,Electronics,163.1187723812227,3.0,Desktop,Google,Morning,Yes
124,8026,Tablet,Gadgets,237.74786515990743,2.0,Mobile,Direct,Evening,No
125,41,Smartphone,Gadgets,257.11852588331044,3.0,Mobile,Email,Evening,No
126,7890,Laptop,Gadgets,272.8700089759516,7.0,Desktop,Email,Morning,No
127,15430,Headphones,Electronics,30.924618359856886,5.0,Mobile,Google,Afternoon,Yes
128,12223,Smartphone,Gadgets,116.95207916063148,2.0,Desktop,Google,Morning,Yes
129,5500,Laptop,Accessories,141.14471264909085,5.0,Mobile,Direct,Evening,Yes
130,13690,Laptop,Electronics,95.5761830336049,1.0,Mobile,Google,Afternoon,Yes
131,5020,Headphones,Gadgets,192.84159742795498,2.0,Desktop,Direct,Evening,No
132,13437,Headphones,Electronics,64.23656079589017,4.0,Mobile,Direct,Morning,No
133,11248,Tablet,Electronics,182.491088851044,9.0,Mobile,Direct,Evening,No
134,13971,Laptop,Gadgets,71.51913752420663,7.0,Mobile,Email,Afternoon,No
135,41,Smartphone,Gadgets,18.734967094082734,5.0,Tablet,Email,Evening,No
136,8572,Laptop,Accessories,86.27055720555657,7.0,Tablet,Direct,Night,Yes
137,9749,Smartphone,Electronics,14.411642405369733,3.0,Desktop,Facebook,Afternoon,No
138,14401,Smartwatch,Electronics,55.06738255740541,7.0,Tablet,Google,Evening,No
139,15039,Smartwatch,Accessories,109.63563155699183,5.0,Desktop,Direct,Afternoon,Yes
140,12357,Smartphone,Gadgets,183.86141604113877,9.0,Desktop,Facebook,Morning,Yes
141,8212,Smartwatch,Gadgets,132.77478574468856,5.0,Mobile,Direct,Afternoon,Yes
142,14861,Headphones,Electronics,157.72964743402719,3.0,Mobile,Direct,Afternoon,Yes
143,6722,Tablet,Gadgets,,1.0,Tablet,Facebook,Morning,No
144,13113,Laptop,Accessories,223.9228212379653,8.0,Tablet,Email,Evening,Yes
145,9942,Smartwatch,Gadgets,265.5086294886334,8.0,Tablet,Facebook,Night,Yes
146,755,Tablet,Accessories,66.22873072189896,4.0,Mobile,Direct,Night,Yes
147,18139,Laptop,Gadgets,160.43089144499203,7.0,Tablet,Direct,Evening,Yes
148,8634,Smartphone,Accessories,213.31965120569262,7.0,Desktop,Facebook,Morning,No
149,12441,Smartwatch,Accessories,23.32671558181997,3.0,Mobile,Facebook,Morning,No
150,11674,Smartphone,Accessories,63.0595520636897,3.0,Mobile,Google,Night,No
151,5697,Tablet,Accessories,211.43944260443666,1.0,Desktop,Direct,Evening,No
152,5015,Smartphone,Gadgets,232.68048095388744,3.0,Tablet,Email,Evening,No
153,1143,Headphones,Accessories,,3.0,Tablet,Direct,Evening,Yes
154,1349,Laptop,Electronics,141.13172142567842,9.0,Desktop,Facebook,Morning,Yes
155,1830,Smartwatch,Accessories,27.258081306480747,5.0,Desktop,Email,Night,Yes
156,1125,Smartwatch,Electronics,85.88169684183214,5.0,Mobile,Google,Afternoon,Yes
157,12990,Laptop,Accessories,122.183993125088,2.0,Tablet,Google,Afternoon,No
158,14682,Headphones,Accessories,31.56571433957374,1.0,Desktop,Direct,Afternoon,Yes
159,4995,Smartphone,Gadgets,112.06885770269969,4.0,Desktop,Direct,Night,Yes
160,3663,Laptop,Electronics,264.7063030205402,8.0,Tablet,Direct,Afternoon,Yes
161,1035,Smartwatch,Accessories,95.80894739864333,9.0,Desktop,Email,Evening,Yes
162,2623,Headphones,Gadgets,54.00080228795261,5.0,Tablet,Facebook,Evening,No
163,3223,Smartphone,Gadgets,204.83646912138695,7.0,Tablet,Google,Night,No
164,10281,Smartphone,Electronics,249.09506351695293,5.0,Tablet,Email,Morning,Yes
165,14008,Laptop,Gadgets,295.4632734779111,6.0,Mobile,Google,Afternoon,No
166,2518,Smartwatch,Electronics,18.570270591071004,4.0,Mobile,Direct,Afternoon,No
167,6862,Smartwatch,Electronics,83.5409827590068,5.0,Mobile,Google,Night,Yes
168,2900,Headphones,Electronics,180.8543025676775,2.0,Tablet,Direct,Evening,Yes
169,6545,Smartphone,Gadgets,240.90229398294727,4.0,Desktop,Direct,Morning,Yes
170,9966,Smartphone,Accessories,15.433506498303304,9.0,Mobile,Direct,Morning,No
171,4016,Smartphone,Electronics,30.94656723454497,3.0,Mobile,Facebook,Evening,No
172,16341,Headphones,Electronics,274.1878562225323,5.0,Mobile,Email,Morning,Yes
173,17498,Smartphone,Electronics,285.4986355847402,8.0,Desktop,Facebook,Morning,Yes
174,11002,Smartphone,Electronics,267.0012473566233,9.0,Mobile,Direct,Morning,No
175,1966,Smartphone,Gadgets,277.97140175315667,7.0,Desktop,Email,Afternoon,Yes
176,16519,Smartwatch,Gadgets,168.3172741587929,2.0,Tablet,Facebook,Night,Yes
177,4142,Smartwatch,Electronics,174.41647681842386,7.0,Tablet,Google,Evening,No
178,7008,Headphones,Gadgets,49.57467486807081,1.0,Tablet,Google,Night,No
179,5462,Laptop,Electronics,77.31384139207358,8.0,Mobile,Email,Night,Yes
180,12342,Headphones,Gadgets,190.84607502753954,5.0,Mobile,Facebook,Afternoon,No
181,12648,Headphones,Gadgets,148.87453732832398,7.0,Mobile,Email,Afternoon,Yes
182,1272,Laptop,Gadgets,,2.0,Mobile,Email,Evening,No
183,501,Laptop,Gadgets,141.1307436326047,4.0,Tablet,Facebook,Night,No
184,14334,Laptop,Accessories,190.26568308073547,5.0,Tablet,Google,Morning,Yes
185,16646,Smartwatch,Gadgets,45.1300526063757,1.0,Tablet,Direct,Night,Yes
186,3879,Headphones,Electronics,91.95491125846922,4.0,Tablet,Direct,Night,Yes
187,2111,Tablet,Electronics,172.83526790667952,3.0,Tablet,Email,Morning,No
188,12684,Tablet,Accessories,91.17586181766598,6.0,Tablet,Facebook,Night,Yes
189,4747,Headphones,Gadgets,108.71493407382994,8.0,Mobile,Email,Night,No
190,18010,Laptop,Accessories,61.8755870651395,1.0,Mobile,Facebook,Night,No
191,15798,Smartphone,Gadgets,203.63824945690513,2.0,Desktop,Email,Night,Yes
192,17035,Laptop,Accessories,121.12452205424336,3.0,Desktop,Direct,Evening,No
193,8023,Tablet,Accessories,79.36213634673591,5.0,Desktop,Facebook,Afternoon,No
194,16360,Smartphone,Accessories,146.2759290329398,3.0,Tablet,Direct,Night,Yes
195,470,Smartphone,Electronics,13.513174768861576,4.0,Tablet,Email,Afternoon,No
196,15020,Headphones,Accessories,156.61975325925388,3.0,Mobile,Google,Evening,No
197,2441,Headphones,Gadgets,173.82502506384856,3.0,Tablet,Email,Morning,Yes
198,11028,Tablet,Accessories,131.3155761746394,6.0,Tablet,Email,Morning,Yes
199,9809,Tablet,Electronics,222.90947861297988,6.0,Desktop,Email,Evening,Yes
200,15923,Laptop,Gadgets,261.1489861814777,3.0,Mobile,Google,Evening,No
201,7840,Headphones,Accessories,43.71917222241675,4.0,Desktop,Facebook,Evening,No
202,11840,Headphones,Gadgets,161.58363855398625,9.0,Mobile,Email,Morning,Yes
203,15369,Tablet,Electronics,205.0785364216961,5.0,Desktop,Direct,Afternoon,No
204,15864,Tablet,Accessories,249.77058517007657,8.0,Desktop,Google,Afternoon,Yes
205,18373,Smartwatch,Accessories,225.9416841213877,4.0,Mobile,Google,Morning,Yes
206,13888,Headphones,Gadgets,144.52619027127932,1.0,Mobile,Google,Evening,No
207,1049,Smartwatch,Gadgets,286.24737611541633,3.0,Tablet,Email,Morning,No
208,3318,Headphones,Electronics,63.35519630158393,9.0,Tablet,Direct,Morning,No
209,603,Laptop,Accessories,116.98962318326778,2.0,Mobile,Direct,Night,Yes
210,7512,Smartwatch,Gadgets,6.54010486286157,5.0,Desktop,Facebook,Evening,No
211,13697,Tablet,Accessories,99.78067262984436,7.0,Mobile,Direct,Night,Yes
212,6610,Laptop,Gadgets,62.06195142062415,1.0,Mobile,Facebook,Morning,Yes
213,9753,Headphones,Electronics,145.7187212006585,6.0,Tablet,Google,Night,No
214,2371,Tablet,Accessories,254.44151785677232,8.0,Mobile,Google,Morning,No
215,6944,Laptop,Gadgets,41.068350915067775,6.0,Desktop,Email,Night,No
216,15782,Headphones,Gadgets,176.91073345987354,9.0,Desktop,Google,Night,Yes
217,4284,Headphones,Gadgets,15.763637024151004,4.0,Mobile,Email,Night,No
218,8605,Smartphone,Electronics,182.327762516089,3.0,Tablet,Direct,Night,Yes
219,1387,Headphones,Accessories,276.2635131916726,8.0,Tablet,Email,Night,No
220,17865,Laptop,Electronics,147.97493218118973,4.0,Desktop,Email,Morning,Yes
221,16480,Headphones,Electronics,266.522170698314,5.0,Mobile,Facebook,Night,No
222,5134,Tablet,Accessories,207.658134048905,1.0,Tablet,Facebook,Night,Yes
223,1497,Headphones,Gadgets,136.56861962948994,3.0,Mobile,Facebook,Afternoon,No
224,1320,Laptop,Gadgets,262.70349517237133,3.0,Mobile,Facebook,Afternoon,Yes
225,6432,Smartphone,Electronics,262.78152066694446,,Desktop,Google,Afternoon,Yes
226,15851,Smartphone,Accessories,152.02849122489081,,Tablet,Facebook,Morning,Yes
227,10385,Smartwatch,Electronics,71.91644268212416,2.0,Tablet,Facebook,Afternoon,No
228,10924,Smartwatch,Electronics,116.40610353682348,4.0,Desktop,Email,Afternoon,No
229,10489,Headphones,Accessories,,,Desktop,Direct,Afternoon,Yes
230,6518,Tablet,Gadgets,,,Tablet,Email,Night,No
231,621,Smartwatch,Gadgets,231.36145161174963,6.0,Mobile,Google,Afternoon,Yes
232,17905,Tablet,Accessories,45.49977995918544,4.0,Tablet,Google,Afternoon,Yes
233,2957,Tablet,Electronics,294.0773463902653,3.0,Mobile,Facebook,Morning,Yes
234,1481,Smartwatch,Electronics,142.5719161421327,7.0,Tablet,Direct,Afternoon,Yes
235,11090,Headphones,Accessories,246.1409777826549,2.0,Tablet,Facebook,Night,No
236,16434,Tablet,Gadgets,287.4900489854938,3.0,Mobile,Email,Morning,No
237,12495,Headphones,Electronics,77.8195684657118,6.0,Desktop,Direct,Evening,Yes
238,4409,Smartwatch,Electronics,,1.0,Desktop,Google,Night,Yes
239,7528,Headphones,Electronics,115.12216153007218,8.0,Tablet,Direct,Morning,Yes
240,1215,Smartphone,Accessories,169.70976600944974,5.0,Tablet,Facebook,Night,No
241,5631,Smartphone,Accessories,50.700448527307806,2.0,Desktop,Direct,Morning,Yes
242,16708,Smartwatch,Electronics,229.28161814634962,7.0,Desktop,Facebook,Morning,No
243,15291,Laptop,Gadgets,21.47010311332287,8.0,Mobile,Direct,Night,No
244,2229,Smartwatch,Electronics,257.25328694371274,4.0,Desktop,Email,Morning,No
245,1091,Tablet,Electronics,7.553565736919593,2.0,Tablet,Google,Evening,No
246,12147,Smartwatch,Electronics,197.09973497611833,1.0,Desktop,Direct,Night,No
247,50,Tablet,Gadgets,255.16625129795185,1.0,Desktop,Email,Evening,Yes
248,5162,Headphones,Gadgets,52.64138839769002,7.0,Desktop,Google,Night,No
249,17111,Headphones,Accessories,130.86770637783593,2.0,Desktop,Direct,Evening,Yes
250,16875,Smartphone,Accessories,103.2560923895413,,Mobile,Direct,Night,No
251,12433,Tablet,Gadgets,110.04113180971713,4.0,Desktop,Direct,Morning,Yes
252,8062,Headphones,Gadgets,178.94381518005076,9.0,Mobile,Email,Morning,No
253,15630,Smartwatch,Electronics,48.05441312891181,5.0,Tablet,Facebook,Evening,Yes
254,3170,Laptop,Gadgets,73.49448888507341,9.0,Desktop,Direct,Afternoon,No
255,8418,Smartphone,Accessories,249.76673815024242,3.0,Mobile,Email,Afternoon,Yes
256,15175,Smartwatch,Accessories,94.3746440414996,3.0,Mobile,Email,Morning,Yes
257,14318,Laptop,Gadgets,40.2415946315477,4.0,Desktop,Direct,Afternoon,No
258,13181,Headphones,Accessories,173.32427789614727,5.0,Mobile,Google,Evening,Yes
259,17907,Laptop,Electronics,226.83557775778766,4.0,Tablet,Facebook,Morning,Yes
260,15391,Laptop,Accessories,220.55670290629962,3.0,Mobile,Facebook,Morning,Yes
261,9162,Smartphone,Accessories,42.571516068590654,3.0,Desktop,Facebook,Afternoon,No
262,14179,Laptop,Accessories,166.42380091574734,5.0,Tablet,Google,Night,No
263,14257,Laptop,Electronics,193.58453686540096,7.0,Desktop,Direct,Morning,No
264,10168,Laptop,Gadgets,32.10868497431407,8.0,Desktop,Direct,Night,No
265,18046,Tablet,Electronics,103.03596003117909,5.0,Mobile,Facebook,Night,Yes
266,10404,Tablet,Electronics,17.01801416762796,4.0,Desktop,Google,Night,No
267,891,Tablet,Accessories,,4.0,Desktop,Facebook,Evening,Yes
268,14374,Smartwatch,Electronics,170.66198975824983,,Desktop,Direct,Night,No
269,848,Smartphone,Accessories,231.5000422984073,5.0,Desktop,Google,Night,Yes
270,6985,Smartwatch,Electronics,193.14529045846788,3.0,Desktop,Google,Morning,Yes
271,12460,Smartwatch,Electronics,220.30640335980053,9.0,Mobile,Email,Morning,No
272,10015,Smartphone,Accessories,164.50149739772522,8.0,Desktop,Facebook,Night,No
273,17351,Headphones,Electronics,138.85130018856253,5.0,Tablet,Email,Afternoon,Yes
274,481,Laptop,Accessories,149.64157875568247,6.0,Mobile,Facebook,Afternoon,Yes
275,5021,Headphones,Gadgets,89.04822901029148,1.0,Desktop,Google,Afternoon,Yes
276,18028,Smartwatch,Electronics,188.7562612021888,4.0,Mobile,Google,Evening,Yes
277,1644,Headphones,Electronics,,8.0,Desktop,Direct,Night,No
278,16474,Tablet,Accessories,137.05463869669174,6.0,Mobile,Direct,Evening,Yes
279,1176,Laptop,Gadgets,119.15896829052532,2.0,Mobile,Google,Night,No
280,15215,Laptop,Accessories,274.1717898846249,7.0,Desktop,Google,Morning,No
281,3785,Smartphone,Gadgets,55.70209338212912,9.0,Mobile,Google,Afternoon,No
282,9138,Tablet,Accessories,67.1253068756949,7.0,Desktop,Direct,Evening,No
283,17570,Tablet,Electronics,225.97394420434028,7.0,Desktop,Email,Afternoon,No
284,3089,Tablet,Accessories,299.28125860936075,9.0,Mobile,Facebook,Afternoon,No
285,14293,Laptop,Accessories,54.193145082458926,6.0,Desktop,Facebook,Night,No
286,4596,Tablet,Accessories,294.2509079741827,4.0,Mobile,Email,Evening,No
287,4169,Smartphone,Accessories,141.19618035138092,8.0,Tablet,Email,Evening,No
288,766,Headphones,Gadgets,37.262354060621824,8.0,Desktop,Email,Evening,Yes
289,1744,Smartwatch,Gadgets,246.1695259997752,1.0,Tablet,Direct,Evening,No
290,11517,Laptop,Gadgets,117.17767476919653,7.0,Tablet,Facebook,Night,Yes
291,3976,Headphones,Electronics,297.48912203518654,2.0,Desktop,Email,Evening,No
292,1243,Laptop,Gadgets,62.03903629296305,6.0,Tablet,Direct,Afternoon,No
293,7176,Tablet,Gadgets,111.78135747236432,7.0,Desktop,Direct,Night,No
294,1793,Laptop,Electronics,108.37302945675943,8.0,Mobile,Google,Evening,No
295,12892,Headphones,Electronics,98.22521408521953,9.0,Desktop,Google,Morning,Yes
296,4252,Smartwatch,Electronics,66.55937544486412,6.0,Mobile,Email,Afternoon,No
297,14662,Tablet,Accessories,225.56830509390136,8.0,Desktop,Facebook,Evening,Yes
298,1745,Laptop,Accessories,22.05612732898071,3.0,Desktop,Email,Morning,No
299,7454,Smartwatch,Electronics,9.736980835412709,3.0,Desktop,Email,Afternoon,Yes
300,8573,Smartwatch,Accessories,207.75587928169801,8.0,Desktop,Direct,Evening,No
301,17923,Smartphone,Gadgets,227.00628006920368,9.0,Tablet,Google,Afternoon,No
302,17669,Smartwatch,Accessories,28.160399435130767,,Tablet,Email,Afternoon,No
303,937,Laptop,Gadgets,43.79180727510424,4.0,Tablet,Facebook,Morning,Yes
304,18244,Smartwatch,Electronics,82.96376280563312,3.0,Desktop,Google,Evening,Yes
305,13057,Smartphone,Gadgets,255.76975985107921,2.0,Tablet,Email,Night,Yes
306,1112,Smartphone,Gadgets,49.287899652989395,7.0,Desktop,Direct,Evening,Yes
307,8060,Smartwatch,Accessories,129.36175303377587,5.0,Desktop,Email,Morning,Yes
308,3940,Smartphone,Electronics,277.67155670783035,6.0,Mobile,Direct,Evening,No
309,602,Smartphone,Accessories,249.75841696226158,9.0,Mobile,Facebook,Morning,No
310,9056,Smartphone,Gadgets,133.87783467791408,1.0,Desktop,Direct,Evening,No
311,13781,Laptop,Gadgets,31.677051943391238,7.0,Tablet,Google,Evening,Yes
312,6317,Smartwatch,Gadgets,7.926722131849612,2.0,Mobile,Google,Evening,Yes
313,9259,Headphones,Electronics,291.3613159004811,4.0,Tablet,Google,Afternoon,Yes
314,9017,Tablet,Electronics,291.17412041215977,7.0,Desktop,Direct,Morning,No
315,11522,Smartwatch,Gadgets,231.99389916608573,8.0,Tablet,Direct,Morning,No
316,10529,Laptop,Accessories,276.5480028203327,9.0,Tablet,Facebook,Evening,Yes
317,14531,Laptop,Electronics,100.54939964101692,8.0,Desktop,Direct,Morning,Yes
318,2946,Smartphone,Gadgets,211.96098866672887,5.0,Tablet,Google,Afternoon,No
319,1707,Headphones,Gadgets,281.8437519299339,,Desktop,Facebook,Night,No
